Application_mode,Course,Gender,Previous_qualification,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Status (Actual),PredictedStatus,Probability
2nd Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12,6,11.875,1,0,21,0,1,1,0.26
Change of Course,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,7,11.28571429,1,0,32,0,1,1,0.26
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,10,11.18181818,11,12,1,0,19,1,1,1,0.2333
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,14.42857143,1,0,19,0,1,1,0.26
Over 23 Years Old,Journalism and Communication,Male,Other - 11th Year of Schooling,6,15,5,13,1,0,52,0,1,1,0.22
Change of Course,Veterinary Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,12,11.42857143,18,12.5,1,0,28,0,1,1,0.24
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.94444444,7,13.47142857,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,13.33333333,4,11.75,1,0,21,0,1,1,0.2133
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.66666667,6,13.33333333,1,1,20,1,1,1,0.1867
Transfer,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.105,8,13.105,1,1,21,0,1,1,0.2
1st Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.16666667,6,15.5,1,1,20,0,1,1,0.1533
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,4,13,6,12.33333333,1,0,20,0,1,1,0.26
Change of Course,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.8,8,11.375,1,0,46,0,1,1,0.34
2nd Phase - General Contingent,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,12,12.38461538,18,12.22222222,1,0,27,0,1,1,0.2533
1st Phase - Special Contingent (Azores Island),Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,20,0,1,0,0.6325
Change of Course,Social Service (Evening Attendance),Male,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,6,12,9,12,1,0,41,0,1,1,0.2133
International Student (Bachelor),Management,Male,Secondary Education - 12th Year of Schooling or Eq.,1,10,1,11,1,0,40,1,1,1,0.3733
Technological Specialization Diploma Holders,Social Service (Evening Attendance),Male,Technological Specialization Course,10,13,16,14.125,1,0,37,0,1,1,0.22
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.2,5,10.2,1,0,20,0,1,1,0.3467
Technological Specialization Diploma Holders,Equinculture,Female,Technological Specialization Course,4,12.4,4,12,1,0,20,0,1,1,0.28
Holders of Other Higher Courses,Management (Evening Attendance),Female,Higher Education - Degree (1st Cycle),7,12.57142857,9,12.33333333,1,0,26,0,1,1,0.2667
Over 23 Years Old,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,7,13.85714286,9,14.33333333,1,0,54,0,1,1,0.2467
2nd Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,15.16666667,1,0,21,0,1,1,0.26
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15.14285714,6,15.14285714,1,1,20,0,1,1,0.1533
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.29444444,6,13.41142857,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.16666667,6,12.33333333,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12.2,4,11.8,1,0,19,0,1,1,0.2467
Change of Course,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15.625,6,15,1,0,19,0,1,1,0.2333
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.33333333,6,11.83333333,1,0,20,0,1,1,0.2733
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.83333333,6,12.5,1,1,18,0,1,1,0.24
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15.5,6,15,1,1,18,0,1,1,0.24
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.63375,7,14.668,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.345,6,13.345,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,5,12.8,1,1,20,0,1,1,0.14
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.14285714,6,10.83333333,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14,6,13.66666667,1,0,18,0,1,1,0.26
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.53714286,7,14.53714286,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,20,0,1,0,0.5067
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.83333333,6,13.16666667,1,1,19,0,1,1,0.24
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.42857143,6,11.33333333,1,1,19,0,1,1,0.1933
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.6,6,12,1,0,18,0,1,1,0.3
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.16666667,6,13.16666667,1,1,18,0,1,1,0.14
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,6,14.83333333,1,1,18,0,1,1,0.14
Technological Specialization Diploma Holders,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,9,13.22222222,7,13,1,0,19,0,1,1,0.26
3rd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,12.95,7,13.08714286,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,13.33333333,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12.75,6,12.16666667,1,0,18,0,1,1,0.26
Short Cycle Diploma Holders,Communication Design,Female,Professional Higher Technical Course,4,12,6,11,0,1,22,0,1,1,0.2133
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.2,5,13.6,1,0,19,0,1,1,0.32
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,15.5,1,0,18,0,1,1,0.2267
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.28571429,7,13.85714286,1,0,19,0,1,1,0.26
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,10,2,11.5,1,0,20,1,1,1,0.3533
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.16666667,6,13,1,1,18,0,1,1,0.2133
1st Phase - General Contingent,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,4,13,6,14,0,0,23,1,1,1,0.2733
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.5,6,11.16666667,1,0,20,0,1,1,0.26
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,7,12.14285714,1,1,18,0,1,1,0.16
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.62777778,7,14.14571429,1,1,18,0,1,1,0.22
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.14444444,7,14.45,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,7,15,7,15.71428571,1,0,18,0,1,1,0.26
Change of Institution/Course,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,12.66666667,5,12.8,1,0,21,0,1,1,0.3333
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.5,6,12.5,1,0,20,0,1,1,0.2933
1st Phase - Special Contingent (Madeira Island),Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.83333333,6,14.5,1,0,18,0,1,1,0.26
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.16428571,7,13.46285714,0,1,20,0,1,1,0.22
1st Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.83333333,6,12.83333333,1,0,25,0,1,1,0.18
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.6,5,12,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,19,0,1,0,0.5867
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.2,6,14.71428571,1,0,20,0,1,1,0.2467
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.28571429,6,12.57142857,1,1,20,0,1,1,0.14
3rd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.5,6,12.5,1,1,21,0,1,1,0.18
2nd Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14,6,14,1,0,18,0,1,1,0.2467
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15.33333333,6,15.83333333,1,1,18,0,1,1,0.1867
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.25,8,14.25,1,0,18,0,1,1,0.2133
Change of Course,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,2,12.5,5,13.2,1,0,21,1,1,1,0.3
1st Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,2,11,4,12,1,0,18,0,1,1,0.3933
Change of Institution/Course,Oral Hygiene,Male,Secondary Education - 12th Year of Schooling or Eq.,2,13.5,5,12.41428571,1,0,23,0,1,1,0.2467
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,5,13.8,1,0,19,0,1,1,0.3467
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,14,4,11.5,0,0,22,0,1,1,0.3533
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.01666667,6,14.01666667,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,10.8,5,11.4,1,0,18,0,1,1,0.2133
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,12,5,10.4,1,0,34,0,1,1,0.2067
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.25,3,10.66666667,1,0,19,0,1,1,0.34
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.71428571,4,14.25,1,0,18,0,1,1,0.2467
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.10625,7,13.91428571,1,1,20,0,1,1,0.22
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.82375,7,13.76111111,1,0,19,0,1,1,0.2133
1st Phase - Special Contingent (Azores Island),Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.25,5,12.6,1,0,22,0,1,1,0.2533
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,6,13.85714286,1,1,23,0,1,1,0.14
Over 23 Years Old,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,13.84285714,7,13.84285714,1,1,34,0,1,1,0.2467
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,0,0,18,1,1,0,0.5667
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,15.05555556,7,14.68285714,1,1,18,0,1,1,0.1733
3rd Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.8,6,13.85714286,1,0,20,0,1,1,0.24
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,18,0,1,0,0.7092
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,13.14285714,1,0,20,0,1,1,0.26
Transfer,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,10,11.58333333,13,11.46153846,1,0,30,0,1,1,0.34
1st Phase - General Contingent,Oral Hygiene,Male,Secondary Education - 12th Year of Schooling or Eq.,6,11.58333333,5,11.2,1,1,21,0,1,1,0.1467
1st Phase - General Contingent,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,4,14.5,5,15,1,0,18,1,1,1,0.2333
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,12.23333333,7,14.24444444,1,1,19,0,1,1,0.1733
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,3,12.33333333,1,0,19,0,1,1,0.2467
2nd Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,6,13.66666667,1,1,19,0,1,1,0.1667
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,19,0,1,0,0.7092
1st Phase - Special Contingent (Madeira Island),Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.6,7,12.6,1,1,19,0,1,1,0.24
Transfer,Journalism and Communication,Female,Frequency of Higher Education,9,12.33333333,10,12.2,1,0,34,0,1,1,0.34
1st Phase - Special Contingent (Madeira Island),Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,13.16666667,1,0,21,0,1,1,0.2533
Change of Course,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,7,11,6,11,1,1,53,0,1,1,0.1267
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,15.35,7,14.01428571,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.25,4,13,1,1,20,0,1,1,0.14
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.66666667,6,14,1,0,18,0,1,1,0.2267
Change of Course,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.42857143,7,14.42857143,1,1,21,0,1,1,0.1533
Transfer,Veterinary Nursing,Female,Technological Specialization Course,13,12.46153846,18,11.83333333,1,0,26,0,1,1,0.2933
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,12.5,1,0,18,0,1,1,0.28
Change of Course,Communication Design,Female,Technological Specialization Course,11,12.54545455,12,13.33333333,1,1,21,0,1,1,0.1733
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11,6,10.83333333,1,0,21,0,1,1,0.2267
2nd Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,13,1,1,19,0,1,1,0.1667
Change of Course,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.2,6,11.42857143,1,1,19,0,1,1,0.1267
Holders of Other Higher Courses,Nursing,Female,Higher Education - Degree,8,12.8875,8,12.8875,1,0,27,0,1,1,0.2867
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.95,6,12.95,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,12.55,7,13.09428571,1,1,19,0,1,1,0.2067
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11,5,11.71428571,1,1,19,0,1,1,0.1933
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,3,10,4,11.25,1,0,20,0,1,1,0.3067
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.33333333,6,13.16666667,1,0,18,0,1,1,0.26
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.4,4,12.75,1,0,20,0,1,1,0.2467
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,12,5,11.2,1,0,42,0,1,1,0.18
International Student (Bachelor),Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,13,1,0,22,0,1,1,0.2067
Technological Specialization Diploma Holders,Agronomy,Female,Technological Specialization Course,6,15,6,14.16666667,1,0,43,0,1,1,0.1667
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,5,12.83333333,1,1,41,0,1,1,0.14
Over 23 Years Old,Social Service (Evening Attendance),Female,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,5,10.4,4,11.75,1,1,29,0,1,1,0.1333
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.5,6,10.83333333,1,1,35,0,1,1,0.14
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,3,11.33333333,2,10,1,0,37,0,1,1,0.2133
